time_iso8601,stars_cumulative
2024-01-11 00:00:00+00:00,3819
2024-01-12 00:00:00+00:00,3825
2024-01-13 00:00:00+00:00,3829
2024-01-14 00:00:00+00:00,3835
2024-01-15 00:00:00+00:00,3846
2024-01-16 00:00:00+00:00,3853
2024-01-17 00:00:00+00:00,3862
2024-01-18 00:00:00+00:00,3869
2024-01-19 00:00:00+00:00,3876
2024-01-20 00:00:00+00:00,3880
2024-01-21 00:00:00+00:00,3886
2024-01-22 00:00:00+00:00,3890
2024-01-23 00:00:00+00:00,3896
2024-01-24 00:00:00+00:00,3902
2024-01-25 00:00:00+00:00,3913
2024-01-26 00:00:00+00:00,3921
2024-01-27 00:00:00+00:00,3923
2024-01-28 00:00:00+00:00,3928
2024-01-29 00:00:00+00:00,3932
2024-01-30 00:00:00+00:00,3961
2024-01-31 00:00:00+00:00,3991
2024-02-01 00:00:00+00:00,4021
2024-02-02 00:00:00+00:00,4056
2024-02-03 00:00:00+00:00,4062
2024-02-04 00:00:00+00:00,4067
2024-02-05 00:00:00+00:00,4073
2024-02-06 00:00:00+00:00,4079
2024-02-07 00:00:00+00:00,4085
2024-02-08 00:00:00+00:00,4087
2024-02-09 00:00:00+00:00,4093
2024-02-10 00:00:00+00:00,4100
2024-02-11 00:00:00+00:00,4103
2024-02-12 00:00:00+00:00,4103
