url_path,views_total,views_unique
/SuperDuperDB/superduperdb,2043,1084
/SuperDuperDB/superduperdb/blob/main/README_zh.md,932,258
/SuperDuperDB/superduperdb/pulls,323,20
/SuperDuperDB/superduperdb/issues,277,59
/SuperDuperDB/superduperdb/tree/main/superduperdb,242,49
/SuperDuperDB/superduperdb/tree/main/examples,181,57
/SuperDuperDB/superduperdb/commits/main,79,10
/SuperDuperDB/superduperdb/actions,79,2
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,76,24
/SuperDuperDB/superduperdb/tree/main/docs,72,17
