time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-25 00:00:00+00:00,3,3,425,47
2024-02-26 00:00:00+00:00,9,6,414,89
2024-02-27 00:00:00+00:00,35,7,686,79
2024-02-28 00:00:00+00:00,33,11,739,96
2024-02-29 00:00:00+00:00,16,8,380,89
2024-03-01 00:00:00+00:00,42,12,508,87
2024-03-02 00:00:00+00:00,12,12,216,58
2024-03-03 00:00:00+00:00,12,10,187,53
2024-03-04 00:00:00+00:00,20,13,315,89
2024-03-05 00:00:00+00:00,45,9,355,70
2024-03-06 00:00:00+00:00,55,10,368,88
2024-03-07 00:00:00+00:00,81,15,732,73
2024-03-08 00:00:00+00:00,37,17,425,79
2024-03-09 00:00:00+00:00,5,5,198,50
