time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-03 00:00:00+00:00,10,8,180,49
2024-03-04 00:00:00+00:00,20,13,315,89
2024-03-05 00:00:00+00:00,45,9,355,70
2024-03-06 00:00:00+00:00,55,10,368,88
2024-03-07 00:00:00+00:00,81,15,732,73
2024-03-08 00:00:00+00:00,37,17,425,79
2024-03-09 00:00:00+00:00,5,5,198,50
2024-03-10 00:00:00+00:00,16,6,175,53
2024-03-11 00:00:00+00:00,55,11,572,83
2024-03-12 00:00:00+00:00,37,15,519,90
2024-03-13 00:00:00+00:00,35,9,339,62
2024-03-14 00:00:00+00:00,50,11,421,78
2024-03-15 00:00:00+00:00,51,21,554,97
2024-03-16 00:00:00+00:00,14,6,220,52
