url_path,views_total,views_unique
/SuperDuperDB/superduperdb,2123,1113
/SuperDuperDB/superduperdb/blob/main/README_zh.md,966,265
/SuperDuperDB/superduperdb/pulls,352,20
/SuperDuperDB/superduperdb/issues,284,56
/SuperDuperDB/superduperdb/tree/main/superduperdb,255,50
/SuperDuperDB/superduperdb/tree/main/examples,185,59
/SuperDuperDB/superduperdb/commits/main,79,10
/SuperDuperDB/superduperdb/actions,79,2
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,78,25
/SuperDuperDB/superduperdb/pull/1719,78,6
