url_path,views_total,views_unique
/SuperDuperDB/superduperdb,1069,523
/SuperDuperDB/superduperdb/pulls,358,20
/SuperDuperDB/superduperdb/blob/main/README_zh.md,290,80
/SuperDuperDB/superduperdb/issues,167,35
/SuperDuperDB/superduperdb/tree/main/superduperdb,98,24
/SuperDuperDB/superduperdb/pull/1832,85,8
/SuperDuperDB/superduperdb/tree/main/examples,84,27
/SuperDuperDB/superduperdb/projects,60,8
/SuperDuperDB/superduperdb/blob/main/examples/question_the_docs.ipynb,54,13
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,46,10
