time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-29 00:00:00+00:00,12,4,344,87
2024-03-01 00:00:00+00:00,42,12,508,87
2024-03-02 00:00:00+00:00,12,12,216,58
2024-03-03 00:00:00+00:00,12,10,187,53
2024-03-04 00:00:00+00:00,20,13,315,89
2024-03-05 00:00:00+00:00,45,9,355,70
2024-03-06 00:00:00+00:00,55,10,368,88
2024-03-07 00:00:00+00:00,81,15,732,73
2024-03-08 00:00:00+00:00,37,17,425,79
2024-03-09 00:00:00+00:00,5,5,198,50
2024-03-10 00:00:00+00:00,16,6,175,53
2024-03-11 00:00:00+00:00,55,11,572,83
2024-03-12 00:00:00+00:00,37,15,519,90
2024-03-13 00:00:00+00:00,35,9,339,62
