time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-06 00:00:00+00:00,40,11,606,121
2024-02-07 00:00:00+00:00,52,12,576,107
2024-02-08 00:00:00+00:00,52,13,314,76
2024-02-09 00:00:00+00:00,32,13,530,92
2024-02-10 00:00:00+00:00,5,5,139,46
2024-02-11 00:00:00+00:00,12,8,148,51
2024-02-12 00:00:00+00:00,20,6,254,70
2024-02-13 00:00:00+00:00,83,7,755,65
2024-02-14 00:00:00+00:00,76,8,684,80
2024-02-15 00:00:00+00:00,48,14,618,73
2024-02-16 00:00:00+00:00,34,7,715,82
2024-02-17 00:00:00+00:00,32,7,375,49
2024-02-18 00:00:00+00:00,23,11,328,73
2024-02-19 00:00:00+00:00,21,11,423,97
