url_path,views_total,views_unique
/SuperDuperDB/superduperdb,1084,513
/SuperDuperDB/superduperdb/pulls,343,18
/SuperDuperDB/superduperdb/blob/main/README_zh.md,296,86
/SuperDuperDB/superduperdb/issues,171,33
/SuperDuperDB/superduperdb/tree/main/superduperdb,116,27
/SuperDuperDB/superduperdb/tree/main/examples,85,28
/SuperDuperDB/superduperdb/pull/1832,78,8
/SuperDuperDB/superduperdb/projects,65,8
/SuperDuperDB/superduperdb/blob/main/examples/question_the_docs.ipynb,54,13
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,47,11
